2022-11-02 09:59:27.056 [Thread-2] INFO   - 2 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.056 [Thread-1] INFO   - 1 900 ms
2022-11-02 09:59:27.059 [Thread-1] INFO   - 1 903 ms
2022-11-02 09:59:27.059 [Thread-2] INFO   - 2 903 ms
2022-11-02 09:59:27.059 [Thread-2] INFO   - 2 903 ms
2022-11-02 09:59:27.059 [Thread-2] INFO   - 2 903 ms
2022-11-02 09:59:27.059 [Thread-2] INFO   - 2 903 ms
2022-11-02 09:59:27.059 [Thread-2] INFO   - 2 903 ms
2022-11-02 09:59:27.059 [Thread-2] INFO   - 2 903 ms
2022-11-02 09:59:27.059 [Thread-2] INFO   - 2 903 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
